kiscourseid,title,degree_type,A_level,year_abroad_available,industry_year_available,foundation_year_available,uq_sal_15m,med_sal_15m,lq_sal_15m
UBAARLSABR18,Archaeology,BA,ABB,Yes,No,No,40000,36500,30000
UBAARLSABR18,Archaeology,BA,ABB,Yes,No,No,34000,28000,25500
UBAARLSING18,Archaeology,BA,ABB,No,Yes,No,40000,36500,30000
UBAARLSING18,Archaeology,BA,ABB,No,Yes,No,34000,28000,25500
UBAARLSPLA18,Archaeology,BA,ABB,No,Yes,No,40000,36500,30000
UBAARLSPLA18,Archaeology,BA,ABB,No,Yes,No,34000,28000,25500
UBACLTSABR18,Comparative Literature,BA,AAA,Yes,No,No,35000,28500,25500
UBACLTSING18,Comparative Literature,BA,AAA,No,No,No,35000,28500,25500
UBACOMSING18,Communications,BA,AAB,No,No,No,NA,NA,NA
UBADUTSING18,Dutch,BA,ABB,Yes,No,No,35000,28500,25500
UBAECHSEDU18,Early Childhood Education,BA,ABB,No,No,No,53000,38500,30500
UBAENGSING05,English,BA,AAA,No,No,No,28000,25500,23000
UBAFINSING05,Fine Art,BA,ABB,No,No,No,NA,NA,NA
UBAFRESING18,French,BA,ABB,Yes,No,No,35000,28500,25500
UBAGEOSING18,Geography,BA,AAA,No,No,No,30000,28000,28000
UBAGEOSINT18,Geography (International Programme),BA,AAA,Yes,No,No,30000,28000,28000
UBAGERSING18,German,BA,ABB,Yes,No,No,35000,28500,25500
UBAHARSING18,History of Art,BA,AAB,No,No,No,34000,28000,25500
UBAHISSANC18,Ancient History,BA,AAA,No,No,No,36000,30000,26000
UBAHISSING18,History,BA,AAA,No,No,No,36000,30000,26000
UBAITASDUA18,Italian Studies: UCL-Venice Double Degree,BA,ABB,Yes,No,No,35000,28500,25500
UBAITASING18,Italian,BA,ABB,Yes,No,No,35000,28500,25500
UBALINSING18,Linguistics,BA,AAB,No,No,No,30000,25500,23000
UBALINSINT18,Linguistics (International Programme),BA,AAB,Yes,No,No,30000,25500,23000
UBALNGSANA18,Ancient Languages,BA,ABB,Yes,No,No,35000,28500,25500
UBALNGSANC18,Ancient Languages,BA,ABB,No,No,No,35000,28500,25500
UBAMEDUCCM20,Media,BA,AAB,No,No,No,28000,25000,23000
UBAPHISING18,Philosophy,BA,AAA,No,No,No,34000,28000,24500
UBARUSSING18,Russian Studies,BA,ABB,Yes,No,No,35000,28500,25500
UBASCASICE18,Icelandic,BA,ABB,Yes,No,No,35000,28500,25500
UBASCASING18,Scandinavian Studies,BA,ABB,Yes,No,No,35000,28500,25500
UBEECOSABR18,Economics,BSc (Econ),A*AA,Yes,No,No,65000,48000,36000
UBEECOSING18,Economics,BSc (Econ),A*AA,No,No,No,65000,48000,36000
UBFFINSING05,Fine Art,BA,ABB,No,No,No,NA,NA,NA
UBLLAWSING18,Law,LLB,A*AA,No,No,No,50000,48000,31000
UBMMEDSING01,Medicine,MBBS BSc,A*AA,NA,NA,NA,38000,34000,30000
UBNBENSING22,Biochemical Engineering,BEng,AAA,No,No,No,50000,37000,32500
UBNBMDSING22,Biomedical Engineering,BEng,AAA,No,No,No,39000,33000,30000
UBNCENSING22,Chemical Engineering,BEng,AAA,No,No,No,50000,37000,32500
UBNCIVSING22,Civil Engineering,BEng,A*AA,No,No,No,36500,30000,29000
UBNMECSING22,Mechanical Engineering,BEng,A*AA,No,No,No,42500,36000,30000
UBSANASNEU18,Neuroscience,BSc,AAA,No,No,No,37500,30000,27500
UBSANTSING18,Anthropology,BSc,AAB,No,No,No,34000,28000,26000
UBSANTWABR18,Anthropology,BSc,AAB,Yes,No,No,34000,28000,26000
UBSARCSING18,Architecture,BSc,AAB,No,No,No,32000,27500,25000
UBSARCSURB18,Urban Studies,BSc,AAB,No,No,No,32000,29500,25500
UBSARLSING18,Archaeology,BSc,ABB,No,No,No,40000,36500,30000
UBSASTSPHY18,Astrophysics,BSc,A*AA,Yes,No,No,40000,33500,31000
UBSAUDSING18,Audiology,BSc,AAB,Yes,No,No,37500,30000,27500
UBSBMDSSCI18,Biomedical Sciences,BSc,AAA,No,No,No,36000,32500,28000
UBSBOCSING18,Biochemistry,BSc,AAA,No,No,No,36500,35000,26000
UBSBOLSING18,Biological Sciences,BSc,AAA,No,No,No,36000,32500,28000
UBSCANSBMD18,Cancer Biomedicine,BSc,AAA,No,No,No,37000,34000,30000
UBSCHESING18,Chemistry,BSc,AAA,No,No,No,35000,30000,23500
UBSCOMSING18,Computer Science,BSc,A*A*A,No,No,No,78000,52500,36500
UBSDATSING18,Data Science,BSc,A*AA,No,No,No,46000,35000,30000
UBSEARSEGS18,Environmental Geoscience,BSc,AAB,No,No,No,34000,29000,25000
UBSEARSGEL18,Geology,BSc,AAB,No,No,No,34000,29000,25000
UBSEARSING18,Earth Sciences,BSc,AAB,No,No,No,34000,29000,25000
UBSEARSPHY18,Geophysics,BSc,AAB,No,No,No,34000,29000,25000
UBSGEOSING18,Geography,BSc,AAA,No,No,No,30000,29500,25500
UBSGEOSINT18,Geography (International Programme),BSc,AAA,Yes,No,No,30000,29500,25500
UBSGLOSHST18,Global Humanitarian Studies,BSc,ABB,No,No,No,34000,28000,26000
UBSHNESING18,Human Neuroscience,BSc,AAA,No,No,No,37500,30000,27500
UBSHNESING18,Human Neuroscience,BSc,AAA,No,No,No,32000,26500,23000
UBSHSCSING18,Human Sciences,BSc,AAA,No,No,No,36000,32500,28000
UBSINFSBUS18,Information Management for Business,BSc,AAA,No,No,No,37000,30000,26000
UBSINFSING18,Information in Society,BSc,ABB,No,No,No,NA,NA,NA
UBSLINSEXP21,Experimental Linguistics,BSc,AAB,No,No,No,30000,25500,23000
UBSLINSINT18,Experimental Linguistics (International Programme),BSc,AAB,Yes,No,No,30000,25500,23000
UBSMANSING18,Management Science,BSc,A*AA,No,No,No,47500,34000,30000
UBSMATSING18,Mathematics,BSc,A*A*A,No,No,No,44000,37000,32500
UBSMEDSAPP18,Applied Medical Sciences,BSc,AAA,No,No,No,37000,34000,30000
UBSNATSING18,Natural Sciences,BSc,A*AA,No,No,No,40000,36500,30000
UBSPHASING18,Pharmacology,BSc,AAB,No,No,No,40000,35000,28000
UBSPHYSING18,Physics,BSc,A*AA,No,No,No,40000,33500,31000
UBSPHYSTPH18,Theoretical Physics,BSc,A*AA,No,No,No,40000,33500,31000
UBSPOPSING18,Population Health Sciences,BSc,ABB,No,No,No,40000,35000,28000
UBSPSYSING18,Psychology,BSc,A*AA,No,No,No,32000,26500,23000
UBSSOCSING18,Sociology,BSc,AAA,No,No,No,34000,28000,26000
UBSSSCSING18,Social Sciences,BSc,AAA,No,No,No,32000,26500,23000
UBSSSCSING18,Social Sciences,BSc,AAA,No,No,No,34000,28000,26000
UBSSTASING18,Statistics,BSc,A*AA,No,No,No,46000,35000,30000
UMNBENSING22,Biochemical Engineering,Integrated MEng,AAA,No,No,No,50000,37000,32500
UMNBMDSING22,Biomedical Engineering,Integrated MEng,AAA,No,No,No,39000,33000,30000
UMNCENSING22,Chemical Engineering,Integrated MEng,AAA,No,No,No,50000,37000,32500
UMNCIVSING22,Civil Engineering,Integrated MEng,A*AA,No,No,No,36500,30000,29000
UMNCOMSING18,Computer Science,Integrated MEng,A*A*A,No,Yes,No,78000,52500,36500
UMNCOMSMAT18,Mathematical Computation,Integrated MEng,A*A*A,No,Yes,No,78000,52500,36500
UMNMECSING22,Mechanical Engineering,Integrated MEng,A*AA,No,No,No,42500,36000,30000
UMPPHMSING01,Pharmacy,MPharm,AAB,No,No,No,40000,35000,25000
UMSANASNEU18,Neuroscience,Integrated MSCi,AAA,No,No,No,37500,30000,27500
UMSARCSING19,Architecture,Integrated MSCi,AAB,Yes,No,Yes,32000,27500,25000
UMSASTSPHY18,Astrophysics,Integrated MSCi,A*AA,No,No,No,40000,33500,31000
UMSBOCSING18,Biochemistry,Integrated MSCi,AAA,Yes,No,No,36500,35000,26000
UMSBOLSING18,Biological Sciences,Integrated MSCi,AAA,No,No,No,36000,32500,28000
UMSCHESING18,Chemistry,Integrated MSCi,AAA,No,No,No,35000,30000,23500
UMSCHESINT18,Chemistry (International Programme),Integrated MSCi,AAA,Yes,No,No,35000,30000,23500
UMSCPMSING18,Construction Project Management,Integrated MSCi,ABB,No,No,No,38000,34000,30000
UMSEARSEGS18,Environmental Geoscience,Integrated MSCi,AAB,No,No,No,34000,29000,25000
UMSEARSGEL18,Geology,Integrated MSCi,AAB,No,No,No,34000,29000,25000
UMSEARSING18,Earth Sciences,Integrated MSCi,AAB,No,No,No,34000,29000,25000
UMSEARSINT18,Earth Sciences (International Programme),Integrated MSCi,AAB,Yes,No,No,34000,29000,25000
UMSEARSPHY18,Geophysics,Integrated MSCi,AAB,No,No,No,34000,29000,25000
UMSMANSING18,Management Science,Integrated MSCi,A*AA,No,No,No,47500,34000,30000
UMSMATSING18,Mathematics,Integrated MSCi,A*A*A,No,No,No,44000,37000,32500
UMSMPHSING18,Medical Physics,Integrated MSCi,A*AA,No,No,No,40000,33500,31000
UMSNATSING18,Natural Sciences,Integrated MSCi,A*AA,No,No,No,40000,36500,30000
UMSPHASING18,Pharmacology,Integrated MSCi,AAB,No,No,No,40000,35000,28000
UMSPHYSING18,Physics,Integrated MSCi,A*AA,No,No,No,40000,33500,31000
UMSPHYSTPH18,Theoretical Physics,Integrated MSCi,A*AA,No,No,No,40000,33500,31000
UMSPSYSING18,Psychology,Integrated MSCi,A*AA,Yes,No,No,32000,26500,23000
UMSSTASINT18,Statistical Science (International Programme),Integrated MSCi,A*AA,Yes,No,No,46000,35000,30000
